originID,grade,type,start_time,end_time,lasting_time,o_lat,o_lon,d_lat,d_lon,dist (km)
'93829634866863765',minor,CONGESTION,03/01/2022 00:40:27,03/01/2022 00:55:27,0:15:00,1.36681,103.94828,1.3627,103.95901,1.2776786841788954
'3445697105686902512',minor,CONGESTION,03/01/2022 00:39:46,03/01/2022 01:03:31,0:23:45,1.3975,103.85609,1.39737,103.85295,0.3497354749077198
'343029304575595518',minor,CONGESTION,03/01/2022 00:40:37,03/01/2022 00:57:31,0:16:54,1.3627,103.95901,1.36089,103.96076,0.27925892506626665
'2655426543533378818',minor,CONGESTION,03/01/2022 00:43:27,03/01/2022 01:13:27,0:30:00,1.33053,103.82021,1.32724,103.82558,0.699643427698364
'1660786738819980451',minor,CONGESTION,03/01/2022 00:44:57,03/01/2022 00:59:57,0:15:00,1.28573,103.79799,1.28759,103.795,0.3911908880009748
'1994314548771554180',minor,CONGESTION,03/01/2022 00:45:31,03/01/2022 01:09:32,0:24:01,1.33489,103.92542,1.34286,103.94855,2.720801250278938
'3856937827371500147',minor,CONGESTION,03/01/2022 00:48:16,03/01/2022 01:03:31,0:15:15,1.32724,103.82558,1.32842,103.82443,0.18276847782740444
'141253163309572023',minor,CONGESTION,03/01/2022 00:52:57,03/01/2022 01:07:57,0:15:00,1.36436,103.85975,1.35806,103.85752,0.7395078289111585
'70555347038862403',minor,CONGESTION,03/01/2022 00:39:46,03/01/2022 01:13:31,0:33:45,1.39679,103.85131,1.39666,103.85068,0.07156903549817784
'136267125348304152',minor,CONGESTION,03/01/2022 00:54:27,03/01/2022 01:24:27,0:30:00,1.32584,103.72934,1.32424,103.74304,1.5349023269811708
'973561242240648577',minor,CONGESTION,03/01/2022 00:55:27,03/01/2022 01:10:27,0:15:00,1.41894,103.80067,1.4212,103.79728,0.4525188071106177
'4297655139850151917',minor,CONGESTION,03/01/2022 00:57:16,03/01/2022 01:21:31,0:24:15,1.32664,103.82714,1.33157,103.81829,1.1257118708293716
'247415459369749107',minor,CONGESTION,03/01/2022 01:01:31,03/01/2022 01:23:31,0:22:00,1.33929,103.94432,1.34046,103.94571,0.20166037979129756
'3587393587412591645',minor,CONGESTION,03/01/2022 01:03:27,03/01/2022 01:33:27,0:30:00,1.33132,103.81879,1.32724,103.82558,0.8800853296562959
'94711187361548237',minor,CONGESTION,03/01/2022 01:01:57,03/01/2022 01:16:57,0:15:00,1.39703,103.85209,1.39782,103.85475,0.3086421851242272
'1951335021545875364',minor,CONGESTION,03/01/2022 01:03:57,03/01/2022 01:18:57,0:15:00,1.28611,103.83834,1.28777,103.8408,0.32961520394030047
'2657481743748590495',minor,CONGESTION,03/01/2022 01:04:57,03/01/2022 01:19:57,0:15:00,1.28573,103.79799,1.28759,103.795,0.3911908880009748
'821191787838230130',minor,CONGESTION,03/01/2022 01:04:46,03/01/2022 01:19:31,0:14:45,1.39759,103.85347,1.39759,103.85348,0.0011128659671591683
'3075818399192928598',minor,CONGESTION,03/01/2022 01:07:27,03/01/2022 01:22:27,0:15:00,1.32243,103.70032,1.32206,103.70422,0.43595518034157593
'863447305102793136',minor,CONGESTION,03/01/2022 01:07:27,03/01/2022 01:37:27,0:30:00,1.33603,103.94044,1.33504,103.93683,0.41640186108093036
'3931652562932562820',minor,CONGESTION,03/01/2022 01:07:27,03/01/2022 01:22:27,0:15:00,1.32243,103.70032,1.32206,103.70422,0.43595518034157593
'1069968078775561408',minor,CONGESTION,03/01/2022 01:11:57,03/01/2022 01:26:57,0:15:00,1.28603,103.83823,1.28777,103.8408,0.34470994683759476
