model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
lasso,Singapore,95,1,6,"(2481, 16)",1662.0,819.0,2.5405512004715853,4.440892098500626e-16,0.0,0.0,7
randomforestregressor,Capetown,135,1,6,"(470, 16)",314.0,156.0,1.2056663473758233,0.046627675079257205,0.14113730366012056,0.025060519986398126,7
linearregression,Istanbul,155,1,6,"(237, 16)",158.0,79.0,1.1023853937313628,0.0,0.15744032503809047,0.0,7
gradientboostingregressor,Capetown,135,1,6,"(470, 16)",314.0,156.0,1.6133802586104975,0.018316128585671103,0.1507567129917668,0.030239998708790242,7
ridge,Istanbul,155,1,6,"(237, 16)",158.0,79.0,1.1104273569960343,0.0,0.14152135456153647,0.0,7
lasso,Capetown,135,1,6,"(470, 16)",314.0,156.0,1.1371306505577665,0.0,0.0,0.0,7
linearregression,Singapore,95,1,6,"(2481, 16)",1662.0,819.0,2.1736010937232724,0.0,0.2363023407532902,5.551115123125783e-17,7
randomforestregressor,Istanbul,165,1,6,"(216, 16)",144.0,72.0,1.4241135013139343,0.15164580212419085,0.05539205105269177,0.022580279200852885,7
linearregression,Capetown,135,1,6,"(470, 16)",314.0,156.0,0.98321664646973,1.1102230246251565e-16,0.23402130492676432,0.0,7
gradientboostingregressor,Istanbul,165,1,6,"(216, 16)",144.0,72.0,1.5399119541898314,0.12270315463537573,0.16293328947464106,0.027326435541114757,7
ridge,Capetown,135,1,6,"(470, 16)",314.0,156.0,0.9831627245812522,2.220446049250313e-16,0.23402130492676432,0.0,7
lasso,Istanbul,165,1,6,"(216, 16)",144.0,72.0,0.8911360772457418,1.1102230246251565e-16,0.0,0.0,7
ridge,Singapore,95,1,6,"(2481, 16)",1662.0,819.0,2.1717247652861142,0.0,0.24022354873799573,5.551115123125783e-17,7
linearregression,Istanbul,165,1,6,"(216, 16)",144.0,72.0,0.9470224009342311,0.0,0.06614785992217898,0.0,7
randomforestregressor,Capetown,145,1,6,"(457, 16)",306.0,151.0,1.1504486668322602,0.011070074025632527,0.18513672465298076,0.029072710212947817,7
ridge,Istanbul,165,1,6,"(216, 16)",144.0,72.0,0.9386607464032493,2.220446049250313e-16,0.06827309236947787,0.0,7
gradientboostingregressor,Capetown,145,1,6,"(457, 16)",306.0,151.0,1.7911919369898703,0.010956299112068977,0.06924895482533826,0.00368147091757595,7
randomforestregressor,Istanbul,175,1,6,"(212, 16)",142.0,70.0,1.2357206285404054,0.07462150323276238,0.08566047246599641,0.011079459126131829,7
lasso,Capetown,145,1,6,"(457, 16)",306.0,151.0,1.186286987831126,0.0,0.0,0.0,7
gradientboostingregressor,Istanbul,175,1,6,"(212, 16)",142.0,70.0,1.7080920218801237,0.10149926820562587,0.049882528351691637,0.024459860177146554,7
linearregression,Capetown,145,1,6,"(457, 16)",306.0,151.0,1.1320763151715665,2.220446049250313e-16,0.1222135762347234,0.0,7
lasso,Istanbul,175,1,6,"(212, 16)",142.0,70.0,0.8637842864697819,0.0,0.0,0.0,7
