NID,PC,Description,Length,Linestring
32,24,Nicoll Dr,0.9365,"MULTILINESTRING ((103.99621 1.37708 0,103.99642 1.37754 0),(103.99642 1.37754 0,103.99693 1.37879 0),(103.99693 1.37879 0,103.99706 1.37916 0),(103.99706 1.37916 0,103.99786 1.38099 0),(103.99786 1.38099 0,103.99809 1.3815 0),(103.99809 1.3815 0,103.99841 1.3822 0),(103.99841 1.3822 0,103.99911 1.38389 0),(103.99911 1.38389 0,103.99944 1.38464 0),(103.99944 1.38464 0,103.99945 1.38466 0),(103.99945 1.38466 0,103.99953 1.38483 0),(103.99953 1.38483 0,103.99962 1.38501 0),(103.99962 1.38501 0,103.99982 1.38541 0),(103.99982 1.38541 0,103.99981 1.38563 0,103.99977 1.38575 0),(103.99977 1.38575 0,103.99971 1.38591 0,103.99972 1.38603 0,103.99975 1.38613 0,103.99984 1.38623 0),(103.99984 1.38623 0,103.99998 1.3863 0),(103.99998 1.3863 0,104.00003 1.38633 0))"
33,19,Woodlands Centre Rd,0.0601,"MULTILINESTRING ((103.77099 1.44119 0,103.77153 1.4412 0))"
34,20,Riverside Rd,1.03422,"MULTILINESTRING ((103.77153 1.4412 0,103.77201 1.44121 0,103.77248 1.44122 0),(103.77248 1.44122 0,103.7727 1.44123 0),(103.7727 1.44123 0,103.77314 1.44124 0),(103.77314 1.44124 0,103.77365 1.44125 0),(103.77365 1.44125 0,103.77381 1.44125 0,103.77397 1.44127 0),(103.77397 1.44127 0,103.77412 1.44131 0,103.77425 1.44136 0,103.77439 1.44143 0,103.77452 1.4415 0),(103.77452 1.4415 0,103.77464 1.44158 0,103.7748 1.4417 0,103.77519 1.442 0,103.77523 1.44203 0),(103.77523 1.44203 0,103.77547 1.4422 0,103.77586 1.44255 0),(103.77586 1.44255 0,103.77592 1.44261 0,103.77613 1.44289 0),(103.77613 1.44289 0,103.77619 1.44297 0),(103.77619 1.44297 0,103.77627 1.4431 0),(103.77627 1.4431 0,103.77635 1.44325 0,103.77643 1.44342 0),(103.77643 1.44342 0,103.77649 1.44359 0,103.77654 1.44375 0,103.77658 1.44393 0,103.77665 1.44425 0),(103.77665 1.44425 0,103.77676 1.44472 0),(103.77676 1.44472 0,103.77677 1.44475 0,103.77683 1.44502 0,103.77693 1.44546 0,103.77698 1.44568 0),(103.77698 1.44568 0,103.77703 1.44595 0),(103.77703 1.44595 0,103.77708 1.44618 0),(103.77708 1.44618 0,103.7772 1.44672 0),(103.7772 1.44672 0,103.77723 1.44686 0))"
35,21,Admiralty Rd W,0.5293,"MULTILINESTRING ((103.77723 1.44686 0,103.77731 1.44717 0,103.77773 1.44904 0),(103.77773 1.44904 0,103.77778 1.44924 0,103.77785 1.44946 0,103.77792 1.44966 0,103.77802 1.44987 0,103.77811 1.45003 0,103.77821 1.45019 0),(103.77821 1.45019 0,103.77836 1.4504 0,103.77851 1.45057 0,103.77865 1.45071 0,103.77879 1.45084 0),(103.77879 1.45084 0,103.77897 1.45097 0,103.77913 1.45108 0))"
36,27,Airport Blvd (North),0.29942,"MULTILINESTRING ((103.99102 1.36075 0,103.99105 1.36069 0,103.99106 1.36062 0),(103.99106 1.36062 0,103.99105 1.36056 0,103.99103 1.36049 0,103.991 1.36041 0),(103.991 1.36041 0,103.99088 1.36013 0,103.99071 1.35966 0),(103.99071 1.35966 0,103.99062 1.35949 0,103.99056 1.35937 0),(103.99056 1.35937 0,103.99049 1.35927 0,103.99044 1.35922 0,103.99038 1.35918 0,103.99028 1.35913 0),(103.99028 1.35913 0,103.99016 1.35908 0),(103.99016 1.35908 0,103.99007 1.35905 0),(103.99007 1.35905 0,103.99 1.35903 0),(103.99 1.35903 0,103.98991 1.359 0),(103.98991 1.359 0,103.98981 1.35897 0),(103.98981 1.35897 0,103.98965 1.35892 0),(103.98965 1.35892 0,103.98948 1.3589 0))"
37,3512,Airport Blvd (South),0.92614,"MULTILINESTRING ((103.98948 1.3589 0,103.98936 1.35884 0,103.98928 1.35878 0),(103.98928 1.35878 0,103.98921 1.35868 0,103.98916 1.35859 0,103.98912 1.35851 0),(103.98912 1.35851 0,103.98907 1.3584 0,103.98904 1.35833 0),(103.98904 1.35833 0,103.98896 1.35813 0),(103.98896 1.35813 0,103.9889 1.35798 0,103.98886 1.35786 0,103.98881 1.35773 0,103.98868 1.35743 0),(103.98868 1.35743 0,103.98863 1.3573 0),(103.98863 1.3573 0,103.9886 1.35723 0),(103.9886 1.35723 0,103.98845 1.35688 0),(103.98845 1.35688 0,103.98837 1.35666 0),(103.98837 1.35666 0,103.98827 1.35641 0),(103.98827 1.35641 0,103.98816 1.35611 0),(103.98816 1.35611 0,103.98781 1.35526 0),(103.98781 1.35526 0,103.98766 1.35494 0),(103.98766 1.35494 0,103.98725 1.35403 0),(103.98725 1.35403 0,103.98701 1.35349 0),(103.98701 1.35349 0,103.98689 1.35319 0),(103.98689 1.35319 0,103.98643 1.35211 0),(103.98643 1.35211 0,103.9863 1.35181 0),(103.9863 1.35181 0,103.98617 1.3515 0),(103.98617 1.3515 0,103.98608 1.35131 0))"
38,3511,T3 Departure Dr/T2 Blvd,0.29702,"MULTILINESTRING ((103.98608 1.35131 0,103.98602 1.35116 0),(103.98602 1.35116 0,103.98592 1.35096 0),(103.98592 1.35096 0,103.9857 1.35045 0,103.98526 1.34942 0),(103.98526 1.34942 0,103.98506 1.34883 0))"
39,26,PIE/Pan Island Expy,1.43073,"MULTILINESTRING ((103.98506 1.34883 0,103.98495 1.3486 0),(103.98495 1.3486 0,103.98487 1.34841 0),(103.98487 1.34841 0,103.98451 1.34757 0),(103.98451 1.34757 0,103.98434 1.34715 0),(103.98434 1.34715 0,103.98428 1.347 0),(103.98428 1.347 0,103.98423 1.34687 0,103.98416 1.34671 0),(103.98416 1.34671 0,103.98404 1.34643 0),(103.98404 1.34643 0,103.98391 1.34614 0),(103.98391 1.34614 0,103.98373 1.3457 0),(103.98373 1.3457 0,103.98368 1.34558 0),(103.98368 1.34558 0,103.98361 1.34542 0),(103.98361 1.34542 0,103.98356 1.3453 0),(103.98356 1.3453 0,103.98351 1.34518 0),(103.98351 1.34518 0,103.98344 1.34501 0),(103.98344 1.34501 0,103.98338 1.34486 0),(103.98338 1.34486 0,103.98326 1.34458 0),(103.98326 1.34458 0,103.98318 1.34438 0),(103.98318 1.34438 0,103.9829 1.3437 0),(103.9829 1.3437 0,103.98283 1.34353 0),(103.98283 1.34353 0,103.98273 1.34329 0,103.98265 1.3431 0),(103.98265 1.3431 0,103.98243 1.34258 0),(103.98243 1.34258 0,103.98232 1.34232 0),(103.98232 1.34232 0,103.98199 1.34158 0),(103.98199 1.34158 0,103.98195 1.34148 0),(103.98195 1.34148 0,103.98191 1.34139 0),(103.98191 1.34139 0,103.98187 1.3413 0),(103.98187 1.3413 0,103.98175 1.34101 0),(103.98175 1.34101 0,103.98152 1.34048 0),(103.98152 1.34048 0,103.9814 1.3402 0),(103.9814 1.3402 0,103.98128 1.33993 0),(103.98128 1.33993 0,103.98114 1.33964 0,103.98062 1.33841 0),(103.98062 1.33841 0,103.98021 1.33749 0),(103.98021 1.33749 0,103.98007 1.33718 0),(103.98007 1.33718 0,103.97997 1.33695 0))"
40,29,Paya Lebar Rd/Upp Paya Lebar Rd,0.10284,"MULTILINESTRING ((103.88852 1.33353 0,103.88886 1.33363 0),(103.88886 1.33363 0,103.88901 1.33367 0),(103.88901 1.33367 0,103.88913 1.3337 0),(103.88913 1.3337 0,103.88941 1.33378 0))"
41,30,Eunos Link/Hougang Ave 3,0.92364,"MULTILINESTRING ((103.88941 1.33378 0,103.88987 1.33391 0,103.8903 1.33404 0,103.89062 1.33415 0,103.89086 1.33424 0),(103.89086 1.33424 0,103.89122 1.33438 0),(103.89122 1.33438 0,103.89154 1.33452 0),(103.89154 1.33452 0,103.89178 1.33461 0),(103.89178 1.33461 0,103.89207 1.33474 0),(103.89207 1.33474 0,103.89248 1.33496 0),(103.89248 1.33496 0,103.89283 1.33516 0),(103.89283 1.33516 0,103.89315 1.33536 0),(103.89315 1.33536 0,103.89362 1.33567 0),(103.89362 1.33567 0,103.89374 1.33575 0),(103.89374 1.33575 0,103.8938 1.33579 0),(103.8938 1.33579 0,103.89387 1.33584 0),(103.89387 1.33584 0,103.89411 1.336 0),(103.89411 1.336 0,103.8944 1.33621 0),(103.8944 1.33621 0,103.89462 1.33636 0),(103.89462 1.33636 0,103.89474 1.33645 0),(103.89474 1.33645 0,103.89486 1.33654 0),(103.89486 1.33654 0,103.89501 1.33666 0,103.89518 1.3368 0),(103.89518 1.3368 0,103.89541 1.33709 0),(103.89541 1.33709 0,103.89579 1.33756 0,103.89586 1.33765 0),(103.89586 1.33765 0,103.89599 1.33785 0),(103.89599 1.33785 0,103.89609 1.33799 0),(103.89609 1.33799 0,103.89624 1.33819 0))"
42,31,Bartley Rd,0.32227,"MULTILINESTRING ((103.89624 1.33819 0,103.89648 1.33852 0,103.89684 1.339 0),(103.89684 1.339 0,103.89696 1.33917 0),(103.89696 1.33917 0,103.89716 1.33946 0),(103.89716 1.33946 0,103.89724 1.33958 0),(103.89724 1.33958 0,103.89746 1.33993 0,103.89761 1.34018 0),(103.89761 1.34018 0,103.89767 1.34027 0),(103.89767 1.34027 0,103.89774 1.34038 0),(103.89774 1.34038 0,103.8978 1.34047 0),(103.8978 1.34047 0,103.89788 1.34059 0))"
43,32,Kim Chuan Rd,0.78751,"MULTILINESTRING ((103.89788 1.34059 0,103.89798 1.34074 0),(103.89798 1.34074 0,103.89813 1.34097 0,103.89827 1.3412 0,103.8984 1.34145 0,103.89842 1.34149 0),(103.89842 1.34149 0,103.89857 1.34182 0,103.89868 1.34207 0,103.89878 1.34233 0,103.89886 1.34258 0),(103.89886 1.34258 0,103.8989 1.34273 0,103.89893 1.34287 0,103.89896 1.34303 0,103.89899 1.34323 0),(103.89899 1.34323 0,103.89901 1.3434 0,103.89902 1.34354 0),(103.89902 1.34354 0,103.89904 1.3437 0,103.89906 1.34392 0,103.89907 1.34411 0),(103.89907 1.34411 0,103.89907 1.34436 0,103.89905 1.34475 0,103.89903 1.34496 0,103.89899 1.34519 0,103.89893 1.34542 0),(103.89893 1.34542 0,103.89887 1.34561 0,103.89883 1.34574 0),(103.89883 1.34574 0,103.89876 1.34596 0),(103.89876 1.34596 0,103.89868 1.34621 0),(103.89868 1.34621 0,103.89861 1.3464 0,103.89853 1.34663 0,103.89846 1.34684 0,103.89841 1.34701 0),(103.89841 1.34701 0,103.89834 1.34735 0))"
44,32,Kim Chuan Rd,0.03971,"MULTILINESTRING ((103.89842 1.34736 0,103.8985 1.34701 0))"
45,31,Bartley Rd,0.81696,"MULTILINESTRING ((103.8985 1.34701 0,103.89856 1.34681 0,103.89862 1.34664 0),(103.89862 1.34664 0,103.89872 1.34635 0),(103.89872 1.34635 0,103.89884 1.34599 0),(103.89884 1.34599 0,103.8989 1.34582 0),(103.8989 1.34582 0,103.899 1.34552 0),(103.899 1.34552 0,103.89904 1.34531 0),(103.89904 1.34531 0,103.89908 1.34509 0),(103.89908 1.34509 0,103.89912 1.34488 0,103.89915 1.34468 0,103.89917 1.34451 0,103.89918 1.34432 0,103.89918 1.34411 0),(103.89918 1.34411 0,103.89917 1.34393 0,103.89916 1.34371 0),(103.89916 1.34371 0,103.89912 1.34332 0),(103.89912 1.34332 0,103.8991 1.34316 0,103.89907 1.343 0,103.89903 1.34282 0,103.89899 1.34266 0),(103.89899 1.34266 0,103.89892 1.34239 0,103.89881 1.34208 0,103.89869 1.34181 0,103.89853 1.34146 0,103.89837 1.34113 0,103.89831 1.34101 0),(103.89831 1.34101 0,103.89821 1.34081 0,103.89806 1.34049 0),(103.89806 1.34049 0,103.898 1.34036 0),(103.898 1.34036 0,103.89795 1.34027 0),(103.89795 1.34027 0,103.89789 1.34016 0),(103.89789 1.34016 0,103.8978 1.34 0))"
46,30,Eunos Link/Hougang Ave 3,0.36433,"MULTILINESTRING ((103.8978 1.34 0,103.89766 1.33974 0,103.89742 1.33929 0),(103.89742 1.33929 0,103.89726 1.33901 0),(103.89726 1.33901 0,103.89711 1.33877 0,103.89693 1.3385 0),(103.89693 1.3385 0,103.8968 1.33833 0,103.89663 1.33813 0),(103.89663 1.33813 0,103.89645 1.33793 0,103.8963 1.33778 0),(103.8963 1.33778 0,103.89619 1.33766 0),(103.89619 1.33766 0,103.8959 1.33734 0))"
47,29,Paya Lebar Rd/Upp Paya Lebar Rd,0.94227,"MULTILINESTRING ((103.8959 1.33734 0,103.89561 1.337 0),(103.89561 1.337 0,103.89541 1.3368 0,103.8948 1.33627 0),(103.8948 1.33627 0,103.89465 1.33615 0),(103.89465 1.33615 0,103.8943 1.33588 0),(103.8943 1.33588 0,103.89397 1.33565 0),(103.89397 1.33565 0,103.89369 1.33547 0),(103.89369 1.33547 0,103.89302 1.33507 0),(103.89302 1.33507 0,103.89281 1.33495 0,103.89258 1.33483 0,103.89216 1.33462 0,103.89173 1.33443 0,103.89163 1.33439 0),(103.89163 1.33439 0,103.89149 1.33433 0,103.89129 1.33425 0),(103.89129 1.33425 0,103.89076 1.33403 0),(103.89076 1.33403 0,103.89059 1.33397 0),(103.89059 1.33397 0,103.89007 1.33381 0),(103.89007 1.33381 0,103.88978 1.33373 0),(103.88978 1.33373 0,103.88957 1.33367 0),(103.88957 1.33367 0,103.88915 1.33355 0),(103.88915 1.33355 0,103.88904 1.33352 0),(103.88904 1.33352 0,103.88889 1.33348 0),(103.88889 1.33348 0,103.88874 1.33344 0),(103.88874 1.33344 0,103.88855 1.33339 0))"
48,26,PIE/Pan Island Expy,0.42533,"MULTILINESTRING ((103.97888 1.33526 0,103.9791 1.33561 0),(103.9791 1.33561 0,103.9792 1.33577 0,103.97938 1.33608 0),(103.97938 1.33608 0,103.97953 1.33636 0,103.97965 1.33659 0,103.97971 1.33672 0),(103.97971 1.33672 0,103.97983 1.33696 0),(103.97983 1.33696 0,103.97985 1.33701 0),(103.97985 1.33701 0,103.97994 1.33723 0),(103.97994 1.33723 0,103.98009 1.33758 0),(103.98009 1.33758 0,103.98035 1.3382 0,103.98044 1.33845 0,103.98055 1.33871 0))"
49,3511,T3 Departure Dr/T2 Blvd,1.17951,"MULTILINESTRING ((103.98055 1.33871 0,103.98059 1.33881 0,103.98066 1.33898 0),(103.98066 1.33898 0,103.98077 1.33925 0),(103.98077 1.33925 0,103.98104 1.3399 0),(103.98104 1.3399 0,103.98136 1.34066 0),(103.98136 1.34066 0,103.98163 1.34128 0),(103.98163 1.34128 0,103.98168 1.34139 0,103.98172 1.34149 0),(103.98172 1.34149 0,103.98175 1.34156 0),(103.98175 1.34156 0,103.98181 1.34169 0),(103.98181 1.34169 0,103.9821 1.34239 0),(103.9821 1.34239 0,103.98219 1.3426 0),(103.98219 1.3426 0,103.98258 1.34352 0),(103.98258 1.34352 0,103.98265 1.34369 0),(103.98265 1.34369 0,103.98298 1.34454 0),(103.98298 1.34454 0,103.98304 1.34467 0),(103.98304 1.34467 0,103.98309 1.34478 0),(103.98309 1.34478 0,103.98314 1.3449 0),(103.98314 1.3449 0,103.9833 1.34527 0),(103.9833 1.34527 0,103.98335 1.34539 0),(103.98335 1.34539 0,103.98346 1.34567 0),(103.98346 1.34567 0,103.98351 1.34578 0),(103.98351 1.34578 0,103.9836 1.346 0),(103.9836 1.346 0,103.9837 1.34624 0),(103.9837 1.34624 0,103.98382 1.34652 0),(103.98382 1.34652 0,103.98401 1.34695 0,103.98407 1.34708 0,103.98412 1.3472 0),(103.98412 1.3472 0,103.98423 1.34745 0),(103.98423 1.34745 0,103.98428 1.34757 0),(103.98428 1.34757 0,103.98445 1.34792 0),(103.98445 1.34792 0,103.98455 1.34814 0),(103.98455 1.34814 0,103.98473 1.34851 0))"
50,3512,Airport Blvd (South),0.30361,"MULTILINESTRING ((103.98473 1.34851 0,103.98496 1.34905 0),(103.98496 1.34905 0,103.98504 1.34924 0),(103.98504 1.34924 0,103.98512 1.34944 0),(103.98512 1.34944 0,103.98524 1.34972 0),(103.98524 1.34972 0,103.98527 1.34979 0),(103.98527 1.34979 0,103.98534 1.34995 0),(103.98534 1.34995 0,103.98556 1.35048 0),(103.98556 1.35048 0,103.98579 1.35104 0))"
51,27,Airport Blvd (North),1.26837,"MULTILINESTRING ((103.98579 1.35104 0,103.986 1.35157 0),(103.986 1.35157 0,103.98613 1.35188 0),(103.98613 1.35188 0,103.98626 1.35216 0),(103.98626 1.35216 0,103.98663 1.35303 0,103.9871 1.35416 0),(103.9871 1.35416 0,103.98722 1.35443 0),(103.98722 1.35443 0,103.98727 1.35457 0,103.98734 1.35473 0),(103.98734 1.35473 0,103.98777 1.35576 0),(103.98777 1.35576 0,103.98791 1.35608 0),(103.98791 1.35608 0,103.98808 1.35648 0),(103.98808 1.35648 0,103.98814 1.35662 0,103.9882 1.35673 0),(103.9882 1.35673 0,103.98828 1.35689 0),(103.98828 1.35689 0,103.98841 1.35713 0),(103.98841 1.35713 0,103.98848 1.35726 0,103.98858 1.35747 0,103.98871 1.35775 0),(103.98871 1.35775 0,103.98886 1.35814 0),(103.98886 1.35814 0,103.98894 1.35832 0),(103.98894 1.35832 0,103.98904 1.35857 0,103.98906 1.35866 0),(103.98906 1.35866 0,103.98908 1.35878 0,103.98909 1.35884 0),(103.98909 1.35884 0,103.98908 1.35893 0,103.98907 1.35902 0,103.98905 1.35909 0),(103.98905 1.35909 0,103.98902 1.35918 0,103.98898 1.35927 0),(103.98898 1.35927 0,103.98894 1.35937 0),(103.98894 1.35937 0,103.98889 1.35946 0),(103.98889 1.35946 0,103.98887 1.35951 0,103.98883 1.35959 0),(103.98883 1.35959 0,103.98874 1.3597 0,103.98868 1.35977 0,103.98861 1.35988 0),(103.98861 1.35988 0,103.98859 1.35993 0,103.98857 1.35999 0,103.98856 1.36008 0),(103.98856 1.36008 0,103.98857 1.36014 0,103.98859 1.36023 0),(103.98859 1.36023 0,103.98869 1.3605 0),(103.98869 1.3605 0,103.98882 1.3608 0),(103.98882 1.3608 0,103.98894 1.36109 0),(103.98894 1.36109 0,103.989 1.36125 0),(103.989 1.36125 0,103.98904 1.36135 0,103.98908 1.36143 0,103.98912 1.36148 0,103.98916 1.36151 0,103.9892 1.36152 0))"
52,51,Woolwich Rd (East),0.01335,"MULTILINESTRING ((103.83745 1.24743 0,103.83737 1.24734 0))"
53,50,Woolwich Rd (West),0.48856,"MULTILINESTRING ((103.83737 1.24734 0,103.83731 1.24726 0),(103.83731 1.24726 0,103.83712 1.24702 0),(103.83712 1.24702 0,103.83693 1.24675 0,103.83679 1.24659 0,103.83663 1.24644 0,103.83637 1.24626 0,103.83609 1.24615 0,103.83584 1.24612 0,103.83563 1.24612 0),(103.83563 1.24612 0,103.83553 1.24612 0,103.835 1.24625 0),(103.835 1.24625 0,103.83477 1.2463 0,103.83454 1.2464 0,103.83441 1.24647 0,103.83428 1.24659 0,103.8341 1.2468 0,103.8339 1.24705 0),(103.8339 1.24705 0,103.83383 1.24712 0))"
54,50,Woolwich Rd (West),0.01648,"MULTILINESTRING ((103.83387 1.24721 0,103.83397 1.2471 0))"
55,51,Woolwich Rd (East),0.47285,"MULTILINESTRING ((103.83397 1.2471 0,103.8342 1.24679 0,103.83435 1.24662 0,103.83449 1.24651 0,103.83466 1.24645 0,103.83487 1.24638 0,103.83502 1.24635 0),(103.83502 1.24635 0,103.83535 1.24627 0),(103.83535 1.24627 0,103.83553 1.24623 0,103.83588 1.24623 0,103.83609 1.24627 0,103.83633 1.24634 0,103.83654 1.24647 0,103.83672 1.24662 0,103.83694 1.24688 0,103.83708 1.24707 0),(103.83708 1.24707 0,103.83719 1.24723 0),(103.83719 1.24723 0,103.83729 1.24739 0),(103.83729 1.24739 0,103.83735 1.24751 0))"
56,48,Geylang Rd,0.09151,"MULTILINESTRING ((103.88209 1.31309 0,103.88204 1.31314 0,103.88202 1.31323 0,103.882 1.31338 0))"
57,47,Sims Ave,0.16891,"MULTILINESTRING ((103.882 1.31338 0,103.88198 1.31358 0),(103.88198 1.31358 0,103.88196 1.31375 0),(103.88196 1.31375 0,103.88193 1.31401 0),(103.88193 1.31401 0,103.88191 1.31414 0),(103.88191 1.31414 0,103.88183 1.31463 0),(103.88183 1.31463 0,103.88178 1.31493 0),(103.88178 1.31493 0,103.88179 1.31542 0))"
58,46,Geylang East Central,0.38412,"MULTILINESTRING ((103.88179 1.31542 0,103.88179 1.31547 0),(103.88179 1.31547 0,103.88178 1.31575 0,103.88178 1.31599 0),(103.88178 1.31599 0,103.88179 1.31615 0,103.8818 1.31632 0),(103.8818 1.31632 0,103.8818 1.31641 0,103.88181 1.31654 0,103.88182 1.31667 0),(103.88182 1.31667 0,103.88183 1.31679 0),(103.88183 1.31679 0,103.88184 1.31689 0,103.88186 1.31715 0),(103.88186 1.31715 0,103.88187 1.3173 0,103.88188 1.31761 0),(103.88188 1.31761 0,103.88188 1.31788 0),(103.88188 1.31788 0,103.88188 1.31811 0),(103.88188 1.31811 0,103.88187 1.3185 0),(103.88187 1.3185 0,103.88187 1.3186 0),(103.88187 1.3186 0,103.88186 1.31889 0))"
59,45,PIE/Pan Island Expy,0.21156,"MULTILINESTRING ((103.88186 1.31889 0,103.88184 1.31918 0),(103.88184 1.31918 0,103.88182 1.31937 0,103.88181 1.31946 0),(103.88181 1.31946 0,103.88178 1.31973 0),(103.88178 1.31973 0,103.88174 1.32004 0),(103.88174 1.32004 0,103.88166 1.32064 0),(103.88166 1.32064 0,103.88164 1.32079 0))"
60,44,Kallang Way,0.36356,"MULTILINESTRING ((103.88164 1.32079 0,103.88162 1.321 0),(103.88162 1.321 0,103.8816 1.32114 0),(103.8816 1.32114 0,103.88157 1.32136 0),(103.88157 1.32136 0,103.88155 1.3215 0,103.88154 1.32155 0),(103.88154 1.32155 0,103.88153 1.32166 0,103.88149 1.32196 0),(103.88149 1.32196 0,103.88147 1.3221 0,103.88144 1.32226 0),(103.88144 1.32226 0,103.88142 1.32241 0),(103.88142 1.32241 0,103.8814 1.32253 0),(103.8814 1.32253 0,103.88139 1.32261 0),(103.88139 1.32261 0,103.88135 1.32285 0),(103.88135 1.32285 0,103.88131 1.32307 0),(103.88131 1.32307 0,103.88121 1.32352 0),(103.88121 1.32352 0,103.8811 1.32403 0))"
61,43,MacPherson Rd,0.84062,"MULTILINESTRING ((103.8811 1.32403 0,103.88104 1.32428 0),(103.88104 1.32428 0,103.88102 1.32437 0),(103.88102 1.32437 0,103.88096 1.3246 0),(103.88096 1.3246 0,103.88081 1.32518 0),(103.88081 1.32518 0,103.88075 1.32542 0),(103.88075 1.32542 0,103.88071 1.32556 0),(103.88071 1.32556 0,103.88063 1.32584 0),(103.88063 1.32584 0,103.88054 1.32613 0),(103.88054 1.32613 0,103.88048 1.32633 0),(103.88048 1.32633 0,103.88042 1.32652 0),(103.88042 1.32652 0,103.88028 1.32697 0),(103.88028 1.32697 0,103.88015 1.32736 0,103.88011 1.32748 0),(103.88011 1.32748 0,103.88009 1.32755 0),(103.88009 1.32755 0,103.87997 1.32787 0),(103.87997 1.32787 0,103.8799 1.32806 0),(103.8799 1.32806 0,103.8798 1.32836 0),(103.8798 1.32836 0,103.8797 1.32866 0,103.8795 1.32933 0,103.87922 1.33031 0),(103.87922 1.33031 0,103.87912 1.33069 0,103.87905 1.33093 0),(103.87905 1.33093 0,103.87902 1.33106 0,103.879 1.33115 0,103.87899 1.33121 0),(103.87899 1.33121 0,103.879 1.33132 0))"
62,43,MacPherson Rd,0.05188,"MULTILINESTRING ((103.879 1.33132 0,103.87906 1.33123 0),(103.87906 1.33123 0,103.8791 1.33112 0,103.87914 1.33101 0,103.87918 1.33089 0))"
63,44,Kallang Way,0.788,"MULTILINESTRING ((103.87918 1.33089 0,103.87925 1.33062 0),(103.87925 1.33062 0,103.87937 1.33018 0),(103.87937 1.33018 0,103.87963 1.32925 0,103.87971 1.32897 0,103.87982 1.32861 0),(103.87982 1.32861 0,103.87999 1.32812 0),(103.87999 1.32812 0,103.88 1.32808 0),(103.88 1.32808 0,103.88011 1.32776 0),(103.88011 1.32776 0,103.88016 1.32761 0),(103.88016 1.32761 0,103.8802 1.32751 0),(103.8802 1.32751 0,103.88024 1.32737 0,103.88038 1.32695 0),(103.88038 1.32695 0,103.88052 1.32651 0),(103.88052 1.32651 0,103.88057 1.32633 0),(103.88057 1.32633 0,103.88062 1.32615 0),(103.88062 1.32615 0,103.88068 1.32595 0),(103.88068 1.32595 0,103.88076 1.32569 0,103.88083 1.32545 0),(103.88083 1.32545 0,103.8809 1.3252 0),(103.8809 1.3252 0,103.88105 1.32462 0),(103.88105 1.32462 0,103.88113 1.32429 0),(103.88113 1.32429 0,103.88118 1.32411 0),(103.88118 1.32411 0,103.88119 1.32406 0))"
64,45,PIE/Pan Island Expy,0.3623,"MULTILINESTRING ((103.88119 1.32406 0,103.88123 1.32389 0,103.88127 1.3237 0,103.88132 1.32345 0),(103.88132 1.32345 0,103.88139 1.32311 0),(103.88139 1.32311 0,103.88143 1.32291 0),(103.88143 1.32291 0,103.88146 1.32275 0),(103.88146 1.32275 0,103.88148 1.32264 0),(103.88148 1.32264 0,103.88149 1.32259 0,103.88151 1.32245 0),(103.88151 1.32245 0,103.88154 1.32229 0),(103.88154 1.32229 0,103.88155 1.3222 0,103.88156 1.32211 0,103.88159 1.32193 0),(103.88159 1.32193 0,103.88162 1.3217 0,103.88164 1.32151 0),(103.88164 1.32151 0,103.88169 1.32111 0),(103.88169 1.32111 0,103.8817 1.32103 0),(103.8817 1.32103 0,103.88172 1.32083 0))"
65,46,Geylang East Central,0.29713,"MULTILINESTRING ((103.88172 1.32083 0,103.88173 1.32075 0),(103.88173 1.32075 0,103.88182 1.32007 0),(103.88182 1.32007 0,103.88187 1.31971 0),(103.88187 1.31971 0,103.8819 1.31948 0),(103.8819 1.31948 0,103.88193 1.31926 0,103.88196 1.31901 0),(103.88196 1.31901 0,103.88198 1.31879 0,103.88199 1.31868 0),(103.88199 1.31868 0,103.88199 1.3186 0),(103.88199 1.3186 0,103.88199 1.3185 0),(103.88199 1.3185 0,103.88199 1.31816 0))"
66,47,Sims Ave,0.35673,"MULTILINESTRING ((103.88199 1.31816 0,103.88198 1.31791 0),(103.88198 1.31791 0,103.88196 1.31752 0),(103.88196 1.31752 0,103.88195 1.31722 0),(103.88195 1.31722 0,103.88193 1.31694 0),(103.88193 1.31694 0,103.88192 1.3168 0),(103.88192 1.3168 0,103.88191 1.31671 0),(103.88191 1.31671 0,103.8819 1.31655 0,103.88189 1.3164 0),(103.88189 1.3164 0,103.88187 1.31616 0,103.88187 1.31599 0),(103.88187 1.31599 0,103.88186 1.31576 0,103.88187 1.31521 0),(103.88187 1.31521 0,103.88187 1.31517 0),(103.88187 1.31517 0,103.88186 1.315 0),(103.88186 1.315 0,103.88186 1.31494 0))"
67,48,Geylang Rd,0.20668,"MULTILINESTRING ((103.88186 1.31494 0,103.8819 1.31465 0),(103.8819 1.31465 0,103.882 1.31402 0),(103.882 1.31402 0,103.88203 1.31379 0),(103.88203 1.31379 0,103.88208 1.31339 0),(103.88208 1.31339 0,103.88211 1.31324 0,103.88212 1.31316 0,103.88209 1.31309 0))"
68,41,Delta Rd/Lower Delta Rd,0.09689,"MULTILINESTRING ((103.82663 1.29049 0,103.82631 1.29049 0),(103.82631 1.29049 0,103.82626 1.29049 0),(103.82626 1.29049 0,103.82609 1.29049 0),(103.82609 1.29049 0,103.82576 1.29051 0))"
