NID,PC,DE,LE,TY,FF
435,1641,Carrera 13,0.23304,TR,28.2
436,1662,Avenida Carrera 68/Carrera 51,0.01022,TR,36.0
437,1661,Carrera 54,0.16622,TR,49.6
438,1660,Carrera 56,0.2887,TR,45.5
439,1659,Avenida Boyacá,0.22151,TR,43.7
440,1658,Calle 45 S,0.06592,TR,29.5
441,1657,Avenida Calle 57R S/Carrera 63,0.83895,TR,38.1
442,1652,Avenida Carrera 14,0.03956,TR,33.8
443,1651,Carrera 15A Bis 45 Bis,0.17739,TR,34.7
444,1650,Diagonal 45D,0.14469,TR,28.8
445,1649,Carrera 18A,0.05748,TR,35.2
446,1648,Avenida Mariscal Sucre,0.09012,TR,30.4
447,1647,Carrera 20 45,0.07789,TR,28.0
448,1646,Carrera 22,0.14578,TR,26.5
449,1645,Avenida Carrera 24,0.16518,TR,26.0
450,1644,Avenida Ciudad De Quito,0.64098,TR,30.0
451,1644,Avenida Ciudad De Quito,0.05092,TR,16.0
452,1645,Avenida Carrera 24,0.4179,TR,29.8
453,1646,Carrera 22,0.15179,TR,27.0
454,1647,Carrera 20 45,0.14469,TR,28.3
455,1648,Avenida Mariscal Sucre,0.08832,TR,27.9
456,1649,Carrera 18A,0.06166,TR,33.0
457,1650,Diagonal 45D,0.10561,TR,33.4
458,1651,Carrera 15A Bis 45 Bis,0.14125,TR,34.6
459,1652,Avenida Carrera 14,0.17934,TR,25.8
460,1653,Carrera 13,0.13194,TR,20.1
461,1654,Avenida Carrera 7,0.25917,TR,27.0
462,1655,Carrera 6 45,0.09066,TR,21.5
463,1657,Avenida Calle 57R S/Carrera 63,0.04251,TR,34.0
464,1658,Calle 45 S,0.77602,TR,44.4
465,1659,Avenida Boyacá,0.06514,TR,49.0
466,1660,Carrera 56,0.24993,TR,48.7
467,1661,Carrera 54,0.47263,TR,49.2
468,1662,Avenida Carrera 68/Carrera 51,0.09749,TR,49.8
469,1675,Avenida Carrera 3,0.04709,TR,36.0
470,1674,Avenida Carrera 7,0.49917,TR,20.5
471,1673,Carrera 13,0.25467,TR,20.0
472,1672,Avenida Carrera 14,0.15052,TR,18.4
473,1671,Carrera 16,0.21305,TR,26.4
474,1670,Avenida Mariscal Sucre,0.11272,TR,22.0
475,1669,Carrera 18,0.06292,TR,24.0
476,1668,Carrera 23,0.40885,TR,28.3
