NID,PC,DE,LE,TY,FF
299,546,Late Uday Katkar Chowk/Byculla Station Road,0.56981,TR,20.0
300,545,Tatyasaheb Ghodke Chowk/N. M. Joshi Marg,0.29376,TR,23.0
301,544,Meghraj Sethi Marg/Souter Street,0.19616,TR,33.0
302,543,Sheikh Hafizuddin Marg,0.16583,TR,34.0
303,542,A. H. Ansari Chowk/J. J. Road/Dr Babasaheb Ambedkar Marg,0.04607,TR,29.0
304,542,A. H. Ansari Chowk/J. J. Road/Dr Babasaheb Ambedkar Marg,0.04075,TR,43.0
305,543,Sheikh Hafizuddin Marg,0.02515,TR,44.0
306,544,Meghraj Sethi Marg/Souter Street,0.17559,TR,39.0
307,545,Tatyasaheb Ghodke Chowk/N. M. Joshi Marg,0.19108,TR,33.0
308,546,Late Uday Katkar Chowk/Byculla Station Road,0.29376,TR,23.0
309,547,Saat Rasta Chowk/Dr Anand Rao Nair Road/Sane Guruji Marg,0.68292,TR,19.0
310,536,Sion Bandra Link Road,0.36022,TR,39.0
311,537,Bandra Kurla Complex Joint Road,0.74394,TR,29.0
312,538,Ambedkar Nagar Road Lane/Bandra Kurla Complex Joint Road,1.06096,TR,35.0
313,539,Kurla Bandra Link Road,1.28409,TR,37.0
314,540,Ramchandra Dhondu Surve Chowk/Lal Bahadur Shastri Marg,0.30812,TR,31.0
315,540,Ramchandra Dhondu Surve Chowk/Lal Bahadur Shastri Marg,0.00849,TR,18.0
316,539,Kurla Bandra Link Road,0.37192,TR,32.0
317,538,Ambedkar Nagar Road Lane/Bandra Kurla Complex Joint Road,1.25177,TR,39.0
318,537,Bandra Kurla Complex Joint Road,1.04116,TR,35.0
319,536,Sion Bandra Link Road,1.08543,TR,32.0
320,551,Barkat Ali Darga Road,0.0206,TR,25.0
321,550,L. M. Nadkarni Marg,0.29973,TR,18.0
322,549,Eastern Express Highway,0.73145,TR,30.0
323,549,Eastern Express Highway,0.02596,TR,22.0
324,550,L. M. Nadkarni Marg,0.71011,TR,30.0
325,551,Barkat Ali Darga Road,0.32034,TR,18.0
326,555,Raje Chhatrapati Shivaji Chowk/Barkat Ali Naka,0.02886,TR,22.0
327,554,Shaikh Mistry Marg/Vidyalankar College Marg,0.19123,TR,25.0
328,553,Katrak Road/Nathalal M. Parekh Marg,0.80915,TR,33.0
329,553,Katrak Road/Nathalal M. Parekh Marg,0.07346,TR,32.0
330,554,Shaikh Mistry Marg/Vidyalankar College Marg,0.73232,TR,35.0
331,555,Raje Chhatrapati Shivaji Chowk/Barkat Ali Naka,0.2201,TR,24.0
332,569,Maharshi Valmiki Chowk,0.02348,TR,20.0
333,568,Vidhan Bhavan Marg,0.2755,TR,20.0
334,533,Service Road,0.07039,TR,19.0
335,534,Prof. J. L. Shirsekar Marg,0.63178,TR,19.0
336,571,Veer Santa Ji Dhanaji Chowk,0.01799,TR,17.0
337,572,Kamalakar Pant Walawalkar Marg,0.38917,TR,21.0
338,573,Dhanvi Road/Relief Road,0.28568,TR,21.0
339,576,Kamala Path Savarkar Marg/Shivsai Mandir Chowk,0.01489,TR,20.0
340,575,K. L. Walawalkar Marg/New Andheri Link Road,0.55967,TR,29.0
341,575,K. L. Walawalkar Marg/New Andheri Link Road,0.01157,TR,22.0
342,576,Kamala Path Savarkar Marg/Shivsai Mandir Chowk,0.56138,TR,26.0
343,581,Prabodhan Krida Bhavan Marg/Shree Gajanan Maharaj Chowk,0.02106,TR,23.0
344,580,Hari Bhai Sailaji Rupavate Road,0.38282,TR,30.0
345,579,No. 4 Road/Achyut Ramchandra Behare Marg,0.41142,TR,31.0
346,578,Link Road/Mohammed Rasool Hafiz Marg/Lokshahir Annasaheb Sathe Chowk,0.17645,TR,23.0
347,564,Ghodapdeo Road/Rambhau Bhogle Marg,0.01257,TR,32.0
348,563,J B Road/Gopal Mahadev Naik Chowk/Reay Road,0.18161,TR,25.0
349,562,Ghodapdeo No-1 Road,0.63098,TR,33.0
350,561,Sant Savta Marg,0.44053,TR,31.0
351,560,Ramseth Naik Road,0.4518,TR,34.0
352,559,Gunpowder Road/Kasar Gully/Mahapurush Mandir Marg,0.2385,TR,42.0
353,558,Dockyard Road/M. D. Naik Marg,0.25348,TR,25.0
354,557,Kaklij Chowk/Jinabhai Muljee Rathod Marg/Jinwadi Bundar Road,0.47001,TR,32.0
355,557,Kaklij Chowk/Jinabhai Muljee Rathod Marg/Jinwadi Bundar Road,0.0206,TR,33.0
356,558,Dockyard Road/M. D. Naik Marg,0.4462,TR,33.0
357,559,Gunpowder Road/Kasar Gully/Mahapurush Mandir Marg,0.25093,TR,36.0
358,560,Ramseth Naik Road,0.25335,TR,40.0
359,561,Sant Savta Marg,0.4347,TR,36.0
360,562,Ghodapdeo No-1 Road,0.44315,TR,35.0
361,563,J B Road/Gopal Mahadev Naik Chowk/Reay Road,0.63126,TR,31.0
362,564,Ghodapdeo Road/Rambhau Bhogle Marg,0.1805,TR,21.0
363,585,Jokim Alva Chowk/Prem Ramchandani Marg/Shree Joachim Alva Chowk,0.02146,TR,18.0
364,584,Colaba Causeway Road/Shahid Bhagat Singh Marg,0.21288,TR,24.0
365,583,Nathalal M. Parikh Road/Wood House Road,0.21363,TR,28.0
366,578,Link Road/Mohammed Rasool Hafiz Marg/Lokshahir Annasaheb Sathe Chowk,0.04941,TR,22.0
367,579,No. 4 Road/Achyut Ramchandra Behare Marg,0.12634,TR,26.0
368,580,Hari Bhai Sailaji Rupavate Road,0.41142,TR,31.0
369,581,Prabodhan Krida Bhavan Marg/Shree Gajanan Maharaj Chowk,0.40329,TR,30.0
370,583,Nathalal M. Parikh Road/Wood House Road,0.03587,TR,28.0
