city,scale,featurename,FI
istanbul,150,#SPN-4,0.0919
istanbul,150,#SPN-5,0.0058
istanbul,150,#edges,0.0195
istanbul,150,#free turns,0.0139
istanbul,150,#nodes,0.0471
istanbul,150,#total crossings,0.0402
istanbul,150,#traffic lights,0.0172
istanbul,150,SPN-avg,0.0782
istanbul,150,avg circuity,0.0167
istanbul,150,avg degree,0.0414
istanbul,150,avg lanes,0.0286
istanbul,150,local centrality,0.0172
mexicocity,020,#SPN-2,0.0245
mexicocity,020,#SPN-3,0.0787
mexicocity,020,#SPN-4,0.1013
mexicocity,020,#SPN-5,0.0183
mexicocity,020,#edges,0.0522
mexicocity,020,#free turns,0.0099
mexicocity,020,#nodes,0.0741
mexicocity,020,#total crossings,0.1175
mexicocity,020,#traffic lights,0.1713
mexicocity,020,SPN-avg,0.0253
mexicocity,020,avg circuity,0.0828
mexicocity,020,avg degree,0.0191
mexicocity,020,avg lanes,0.0506
mexicocity,020,local centrality,0.0193
mexicocity,025,#SPN-2,0.0332
mexicocity,025,#SPN-3,0.0499
mexicocity,025,#SPN-4,0.1204
mexicocity,025,#SPN-5,0.0153
mexicocity,025,#edges,0.0485
mexicocity,025,#free turns,0.0076
mexicocity,025,#nodes,0.0703
mexicocity,025,#total crossings,0.1175
mexicocity,025,#traffic lights,0.177
mexicocity,025,SPN-avg,0.0332
mexicocity,025,avg circuity,0.0482
mexicocity,025,avg degree,0.0218
mexicocity,025,avg lanes,0.044
mexicocity,025,local centrality,0.0333
mexicocity,030,#SPN-2,0.0604
mexicocity,030,#SPN-3,0.0455
mexicocity,030,#SPN-4,0.1039
mexicocity,030,#SPN-5,0.0155
mexicocity,030,#edges,0.057
mexicocity,030,#free turns,0.0132
mexicocity,030,#nodes,0.0619
mexicocity,030,#total crossings,0.1382
mexicocity,030,#traffic lights,0.1979
mexicocity,030,SPN-avg,0.0322
mexicocity,030,avg circuity,0.0552
mexicocity,030,avg degree,0.0206
mexicocity,030,avg lanes,0.0389
mexicocity,030,local centrality,0.0206
mexicocity,040,#SPN-2,0.0588
mexicocity,040,#SPN-3,0.0445
mexicocity,040,#SPN-4,0.0804
mexicocity,040,#SPN-5,0.009
mexicocity,040,#edges,0.0449
mexicocity,040,#free turns,0.0057
mexicocity,040,#nodes,0.0713
mexicocity,040,#total crossings,0.1368
mexicocity,040,#traffic lights,0.2137
mexicocity,040,SPN-avg,0.0489
mexicocity,040,avg circuity,0.0601
mexicocity,040,avg degree,0.0235
mexicocity,040,avg lanes,0.0271
mexicocity,040,local centrality,0.021
mexicocity,050,#SPN-2,0.043
mexicocity,050,#SPN-3,0.0355
mexicocity,050,#SPN-4,0.1001
mexicocity,050,#SPN-5,0.0059
mexicocity,050,#edges,0.0468
mexicocity,050,#free turns,0.0055
mexicocity,050,#nodes,0.0594
mexicocity,050,#total crossings,0.1168
mexicocity,050,#traffic lights,0.2101
mexicocity,050,SPN-avg,0.0558
mexicocity,050,avg circuity,0.0559
mexicocity,050,avg degree,0.0207
mexicocity,050,avg lanes,0.0257
mexicocity,050,local centrality,0.0293
mexicocity,060,#SPN-2,0.0602
mexicocity,060,#SPN-3,0.0435
mexicocity,060,#SPN-4,0.0826
mexicocity,060,#SPN-5,0.0069
mexicocity,060,#edges,0.0382
mexicocity,060,#free turns,0.0051
mexicocity,060,#nodes,0.0638
mexicocity,060,#total crossings,0.1447
mexicocity,060,#traffic lights,0.2027
mexicocity,060,SPN-avg,0.0514
mexicocity,060,avg circuity,0.0715
mexicocity,060,avg degree,0.0235
mexicocity,060,avg lanes,0.0384
mexicocity,060,local centrality,0.0223
mexicocity,070,#SPN-2,0.0536
mexicocity,070,#SPN-3,0.0464
mexicocity,070,#SPN-4,0.0869
mexicocity,070,#SPN-5,0.0065
mexicocity,070,#edges,0.0406
mexicocity,070,#free turns,0.0043
mexicocity,070,#nodes,0.0516
mexicocity,070,#total crossings,0.1319
mexicocity,070,#traffic lights,0.1941
mexicocity,070,SPN-avg,0.06
mexicocity,070,avg circuity,0.0821
mexicocity,070,avg degree,0.0271
mexicocity,070,avg lanes,0.0324
mexicocity,070,local centrality,0.0168
mexicocity,080,#SPN-2,0.0767
mexicocity,080,#SPN-3,0.0311
mexicocity,080,#SPN-4,0.1154
mexicocity,080,#SPN-5,0.0053
mexicocity,080,#edges,0.0359
mexicocity,080,#free turns,0.005
mexicocity,080,#nodes,0.0446
mexicocity,080,#total crossings,0.1493
mexicocity,080,#traffic lights,0.1736
mexicocity,080,SPN-avg,0.0688
mexicocity,080,avg circuity,0.0533
mexicocity,080,avg degree,0.0299
mexicocity,080,avg lanes,0.0283
mexicocity,080,local centrality,0.0185
mexicocity,090,#SPN-2,0.0629
mexicocity,090,#SPN-3,0.0405
mexicocity,090,#SPN-4,0.1092
mexicocity,090,#SPN-5,0.0063
mexicocity,090,#edges,0.036
mexicocity,090,#free turns,0.0048
mexicocity,090,#nodes,0.0439
mexicocity,090,#total crossings,0.1222
mexicocity,090,#traffic lights,0.1934
mexicocity,090,SPN-avg,0.0771
mexicocity,090,avg circuity,0.0587
mexicocity,090,avg degree,0.035
mexicocity,090,avg lanes,0.0255
mexicocity,090,local centrality,0.0166
mexicocity,100,#SPN-2,0.0663
mexicocity,100,#SPN-3,0.0419
mexicocity,100,#SPN-4,0.0935
mexicocity,100,#SPN-5,0.0083
mexicocity,100,#edges,0.0393
mexicocity,100,#free turns,0.0027
mexicocity,100,#nodes,0.0456
mexicocity,100,#total crossings,0.1192
mexicocity,100,#traffic lights,0.1984
mexicocity,100,SPN-avg,0.0643
mexicocity,100,avg circuity,0.0774
mexicocity,100,avg degree,0.0263
mexicocity,100,avg lanes,0.0264
mexicocity,100,local centrality,0.0201
mumbai,020,#SPN-2,0.0431
mumbai,020,#SPN-3,0.0239
mumbai,020,#SPN-4,0.0434
mumbai,020,#SPN-5,0.0199
mumbai,020,#edges,0.0377
mumbai,020,#free turns,0.0088
mumbai,020,#nodes,0.027
mumbai,020,#total crossings,0.0652
mumbai,020,#traffic lights,0.0824
mumbai,020,SPN-avg,0.0309
mumbai,020,avg circuity,0.0337
mumbai,020,avg degree,0.0359
mumbai,020,avg lanes,0.0401
mumbai,020,local centrality,0.0477
mumbai,025,#SPN-2,0.1315
mumbai,025,#SPN-3,0.0338
mumbai,025,#SPN-4,0.0458
mumbai,025,#SPN-5,0.0249
mumbai,025,#edges,0.037
mumbai,025,#free turns,0.0206
mumbai,025,#nodes,0.0439
mumbai,025,#total crossings,0.0687
mumbai,025,#traffic lights,0.0892
mumbai,025,SPN-avg,0.0343
mumbai,025,avg circuity,0.042
mumbai,025,avg degree,0.0302
mumbai,025,avg lanes,0.0189
mumbai,025,local centrality,0.0244
mumbai,030,#SPN-2,0.026
mumbai,030,#SPN-3,0.0299
mumbai,030,#SPN-4,0.0597
mumbai,030,#SPN-5,0.0051
mumbai,030,#edges,0.0494
mumbai,030,#free turns,0.0064
mumbai,030,#nodes,0.0598
mumbai,030,#total crossings,0.0914
mumbai,030,#traffic lights,0.0867
mumbai,030,SPN-avg,0.0589
mumbai,030,avg circuity,0.0461
mumbai,030,avg degree,0.0376
mumbai,030,avg lanes,0.0379
mumbai,030,local centrality,0.0313
mumbai,040,#SPN-2,0.0615
mumbai,040,#SPN-3,0.0275
mumbai,040,#SPN-4,0.0493
mumbai,040,#SPN-5,0.0069
mumbai,040,#edges,0.0533
mumbai,040,#free turns,0.0032
mumbai,040,#nodes,0.0497
mumbai,040,#total crossings,0.1006
mumbai,040,#traffic lights,0.0987
mumbai,040,SPN-avg,0.0637
mumbai,040,avg circuity,0.0473
mumbai,040,avg degree,0.0256
mumbai,040,avg lanes,0.0382
mumbai,040,local centrality,0.0277
mumbai,050,#SPN-2,0.0323
mumbai,050,#SPN-3,0.031
mumbai,050,#SPN-4,0.0493
mumbai,050,#SPN-5,0.0081
mumbai,050,#edges,0.0423
mumbai,050,#free turns,0.0096
mumbai,050,#nodes,0.0455
mumbai,050,#total crossings,0.0891
mumbai,050,#traffic lights,0.0946
mumbai,050,SPN-avg,0.0346
mumbai,050,avg circuity,0.0421
mumbai,050,avg degree,0.0344
mumbai,050,avg lanes,0.0224
mumbai,050,local centrality,0.023
mumbai,060,#SPN-2,0.0254
mumbai,060,#SPN-3,0.0249
mumbai,060,#SPN-4,0.0692
mumbai,060,#SPN-5,0.004
mumbai,060,#edges,0.0352
mumbai,060,#free turns,0.003
mumbai,060,#nodes,0.0499
mumbai,060,#total crossings,0.108
mumbai,060,#traffic lights,0.1079
